Produk,Temperatur,Ukuran,Warna,Komponen,Qty,UOM,Harga,Kategori,Harga Jual
AMERICANO DIRNO COFFEE,Hot,,,,,,,Beverage,
,,,,PREMIUM HOUSEBLEND,18,GRAM,167.92,,
,,,,AMIDIS GALON,200,ML,3.42,,
,,,,CUP 8 OZ DOUBLE WALL CRAFT,1,PCS,1250,,
AMERICANO DIRNO COFFEE,Ice,,,,,,,Beverage,
,,,,PREMIUM HOUSEBLEND,18,GRAM,167.92,,
,,,,AMIDIS GALON,150,ML,3.42,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,INJECTION CUP DESIGN 1 WARNA FROST (OVAL) 12 OZ,1,PCS,1430,,
AMERICANO DIRNO COFFEE DECAFF,,,,,,,,Beverage,
,,,,ARABIKA BALI KINTAMANI DECAFF,18,GRAM,160,,
,,,,AMIDIS GALON,200,ML,3.42,,
,,,,CUP 8 OZ DOUBLE WALL CRAFT,1,PCS,1250,,
LATTE DIRNO COFFEE,Hot,,,,,,,Beverage,
,,,,PREMIUM HOUSEBLEND,18,GRAM,167.92,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,70,ML,15.29,,
,,,,CUP 8 OZ DOUBLE WALL CRAFT,1,PCS,1250,,
LATTE DIRNO COFFEE,Ice,,,,,,,Beverage,
,,,,PREMIUM HOUSEBLEND,18,GRAM,167.92,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,70,ML,15.29,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,INJECTION CUP DESIGN 1 WARNA FROST (OVAL) 12 OZ,1,PCS,1430,,
PANDAN LATTE DIRNO COFFEE,Hot,,,,,,,Beverage,
,,,,PREMIUM HOUSEBLEND,18,GRAM,167.92,,
,,,,SYRUP PANDAN IPANG,15,ML,35.71,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,70,ML,15.29,,
,,,,CUP 8 OZ DOUBLE WALL CRAFT,1,PCS,1250,,
PANDAN LATTE DIRNO COFFEE,Ice,,,,,,,Beverage,
,,,,PREMIUM HOUSEBLEND,18,GRAM,167.92,,
,,,,SYRUP PANDAN IPANG,15,ML,35.71,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,70,ML,15.29,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,INJECTION CUP DESIGN 1 WARNA FROST (OVAL) 12 OZ,1,PCS,1430,,
DIRNOCOFFEE BUTTERSCOTCH 1L,,,,,,,,Beverage,
