Komponen,Qty,UOM,Harga
PREMIUM HOUSEBLEND,10000,GRAM,9.3289
AMIDIS GALON,50000,ML,0.0228
CUP 8 OZ DOUBLE WALL CRAFT,500,PCS,1250.0
ICE CUBE,100000,GRAM,0.0066
INJECTION CUP DESIGN 1 WARNA FROST (OVAL) 12 OZ,500,PCS,1430.0
ARABIKA BALI KINTAMANI DECAFF,10000,GRAM,8.8889
SUSU DIAMOND FULLCREAM DIAMOND,50000,ML,0.2548
SYRUP PANDAN IPANG,50000,ML,2.3807
SYRUP NABATA BUTTERSCOTCH,50000,ML,0.6364
SYMPLE SYRUP,50000,ML,0.4274
SANTOS CREAMER,10000,GRAM,0.1738
BOTOL 1 LITER,500,PCS,6000.0
STIKER BOTOL DIRNOCOFFE,500,UNITS,4000.0
Kopi Instan,10000,GRAM,42.91
MAX CREAMER,10000,GRAM,6.1055
SYRUP PANDAN MONIN,50000,ML,10.0244
GULA PASIR GULAKU,10000,GRAM,1.44
INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,500,PCS,1321.88
POWDER CHOCO SWISS JPS,10000,GRAM,1.7188
POWDER ROYAL CHOCO JPS,10000,GRAM,9.41
INJECTION CUP DESIGN FONT 1 WARNA 22 OZ,500,PCS,2322.16
SYRUP CARAMEL TRIESTE,50000,ML,
ZE SAUCE SALTED CARAMEL,10000,GRAM,
POWDER CHOCOLATE TULIP BORDEAUX,10000,GRAM,
ABC SIRUP SQUASH ORANGE,50000,ML,
MARJAN SQUASH MANGO,50000,ML,
ABC SIRUP SQUASH PINEAPPLE,50000,ML,
YAKULT,200,BOTOL 65 ML,2018.47
SYRUP LEMON DENALI,50000,ML,
MADU TUJUH KARYA,50000,ML,
BUTTERFLY PEA TEA,10000,GRAM,178.88
JERUK NIPIS,300,SLICE,
KIWI JAM,10000,GRAM,2.5795
MANGO JAM,10000,GRAM,2.0136
JERUK NIPIS NON BRAND,300,SLICE,
STRAWBERRY JAM,10000,GRAM,1.7064
BLACK TEA THONG JIE,1000,PCS,447.9125
AQUA GALON,50000,ML,0.0373
CUP 14 OZ DIRNOSAURUS,500,PCS,552.59
CUP 22 OZ DIRNOSAURUS,500,PCS,585.59
POWDER LYCHEE TEA OMURA,10000,GRAM,2.153
ABC SIRUP SQUASH DELIGHT GRAPE,50000,ML,1.8265
SOFT ICE CREAM DIAMOND,50000,ML,0.0953
MARJAN BOUDOIN STRAWBERRY,50000,ML,
POWDER MILO OMURA,10000,GRAM,1.4876
NUTRISARI RUJAK,500,SACHET,1469.0
