Produk,Temperatur,Ukuran,Warna,Komponen,Qty,UOM,Harga,Kategori,Harga Jual
NEW MILO SAURUS,,Reguler,,,,,,Beverage,28000
,,,,POWDER MILO OMURA,33,GRAM,49.09,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,88,ML,15.29,,
,,,,MAX CREAMER,11,GRAM,67.16,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,INJECTION CUP DESIGN FONT 1 WARNA 16 OZ,1,PCS,1321.88,,
LATTE DIRNO COFFEE,Hot,,,,,,,Beverage,32000
,,,,PREMIUM HOUSEBLEND,18,GRAM,167.92,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,70,ML,15.29,,
,,,,CUP 8 OZ DOUBLE WALL CRAFT,1,PCS,1250,,
LATTE DIRNO COFFEE,Ice,,,,,,,Beverage,32000
,,,,PREMIUM HOUSEBLEND,18,GRAM,167.92,,
,,,,SUSU DIAMOND FULLCREAM DIAMOND,70,ML,15.29,,
,,,,ICE CUBE,300,GRAM,1.31,,
,,,,INJECTION CUP DESIGN 1 WARNA FROST (OVAL) 12 OZ,1,PCS,1430,,
Birthday Decoration,,,,,,,,Service,150000
,,,,Balloon Package,1,Set,50000,,
